ITL,ITL code,name,value
ITL3,TLL22,Cardiff and Vale of Glamorgan,76.1
ITL3,TLL23,Flintshire and Wrexham,77.3
ITL3,TLL24,Powys,76.1
ITL3,TLM50,Aberdeen City and Aberdeenshire,80
ITL3,TLM61,Caithness and Sutherland and Ross and Cromarty,75.2
ITL3,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",78.7
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",75.9
ITL3,TLM64,Na h-Eileanan Siar,82.3
ITL3,TLM65,Orkney Islands,87.1
ITL3,TLM66,Shetland Islands,77.6
ITL3,TLM71,Angus and Dundee City,71.6
ITL3,TLM72,Clackmannanshire and Fife,73.8
ITL3,TLM73,East Lothian and Midlothian,79.6
ITL3,TLM75,City of Edinburgh,75.1
ITL3,TLM76,Falkirk,74.1
ITL3,TLM77,Perth and Kinross and Stirling,79.2
ITL3,TLM78,West Lothian,77.8
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",75.2
ITL3,TLM82,Glasgow City,67.3
ITL3,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire",74
ITL3,TLM84,North Lanarkshire,74.3
ITL3,TLM91,Scottish Borders,76.2
ITL3,TLM92,Dumfries and Galloway,75.1
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,72.3
ITL3,TLM94,South Ayrshire,73.9
ITL3,TLM95,South Lanarkshire,76.6
ITL3,TLN06,Belfast,67.6
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",72.3
ITL3,TLN08,"Newry, Mourne and Down",73.6
ITL3,TLN09,Ards and North Down,73.1
ITL3,TLN0A,Derry City and Strabane,68
ITL3,TLN0B,Mid Ulster,75.3
ITL3,TLN0C,Causeway Coast and Glens,67.6
ITL3,TLN0D,Antrim and Newtownabbey,77.3
ITL3,TLN0E,Lisburn and Castlereagh,81.1
ITL3,TLN0F,Mid and East Antrim,74.2
ITL3,TLN0G,Fermanagh and Omagh,65
