ITL,ITL code,name,value
ITL3,TLL22,Cardiff and Vale of Glamorgan,21.3
ITL3,TLL23,Flintshire and Wrexham,19.2
ITL3,TLL24,Powys,21.5
ITL3,TLM50,Aberdeen City and Aberdeenshire,17.7
ITL3,TLM61,Caithness and Sutherland and Ross and Cromarty,22.2
ITL3,TLM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",18.5
ITL3,TLM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",22.4
ITL3,TLM64,Na h-Eileanan Siar,16.7
ITL3,TLM65,Orkney Islands,10.9
ITL3,TLM66,Shetland Islands,19.2
ITL3,TLM71,Angus and Dundee City,25.2
ITL3,TLM72,Clackmannanshire and Fife,23.4
ITL3,TLM73,East Lothian and Midlothian,18.7
ITL3,TLM75,City of Edinburgh,22.6
ITL3,TLM76,Falkirk,22.5
ITL3,TLM77,Perth and Kinross and Stirling,18.3
ITL3,TLM78,West Lothian,20.3
ITL3,TLM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",22.2
ITL3,TLM82,Glasgow City,29.3
ITL3,TLM83,"Inverclyde, East Renfrewshire and Renfrewshire",22.6
ITL3,TLM84,North Lanarkshire,21.9
ITL3,TLM91,Scottish Borders,21.2
ITL3,TLM92,Dumfries and Galloway,22.6
ITL3,TLM93,East Ayrshire and North Ayrshire mainland,23.7
ITL3,TLM94,South Ayrshire,23.3
ITL3,TLM95,South Lanarkshire,21.8
ITL3,TLN06,Belfast,23.5
ITL3,TLN07,"Armagh City, Banbridge and Craigavon",18.1
ITL3,TLN08,"Newry, Mourne and Down",18.7
ITL3,TLN09,Ards and North Down,18.7
ITL3,TLN0A,Derry City and Strabane,23
ITL3,TLN0B,Mid Ulster,14.7
ITL3,TLN0C,Causeway Coast and Glens,25.5
ITL3,TLN0D,Antrim and Newtownabbey,16.6
ITL3,TLN0E,Lisburn and Castlereagh,12.9
ITL3,TLN0F,Mid and East Antrim,18.2
ITL3,TLN0G,Fermanagh and Omagh,23.7
