yearmo,SENT,SENT_ORTH,pdnd,ripo,nipo,cefd,s,indpro,consdur,consnon,consserv,recess,employ,cpi
201512,-0.390093774,-0.173408762,-9.804665565,32.3,2,11.44999981,0.103254177,98.93900299,1332.800049,2644.600098,8474.599609,0,143083,237.7610016
201601,-0.468541771,-0.297610432,-6.730492115,,0,13.74944401,0.103340082,99.45580292,1329.699951,2630.199951,8518,0,143196,237.6519928
201602,-0.445440799,-0.29950425,-5.514427185,-4.3,5,13.48777771,0.094477274,98.91359711,1353.099976,2631,8570.5,0,143411,237.3359985
201603,-0.400157928,-0.242178515,-5.608278275,-2.5,4,12.63500023,0.088306859,98.19069672,1333.199951,2637.399902,8566.400391,0,143666,238.0800018
201604,-0.403010815,-0.267532676,-1.075584173,7,8,11.1044445,0.088261425,98.46690369,1339.199951,2660,8612.299805,0,143856,238.9920044
201605,-0.371620446,-0.276859432,-3.125720501,8.9,19,10.95555592,0.086921111,98.25180054,1340.199951,2672.300049,8640.200195,0,143901,239.5570068
201606,-0.311232716,-0.237231001,-1.447061896,32,9,11.12555599,0.079697937,98.72750092,1358.199951,2701.5,8671.5,0,144152,240.2220001
201607,-0.231187642,-0.15348196,-3.940369129,11.5,11,9.759444237,0.080594346,98.83599854,1365.599976,2676.399902,8714.700195,0,144515,240.1009979
201608,-0.230324328,-0.135446891,-4.61478138,3,8,10.07277775,0.080432333,98.75540161,1363.400024,2682.199951,8742.5,0,144664,240.5449982
201609,-0.339509308,-0.249675363,-6.249969482,46,17,11.6044445,0.084794037,98.6595993,1369.900024,2694.800049,8781.900391,0,144961,241.1759949
201610,-0.326469958,-0.239096045,-6.745399475,9.5,21,11.99166679,0.084889993,98.73220062,1375.5,2701.5,8790.099609,0,145069,241.7409973
201611,-0.27516377,-0.254524112,-6.293374062,-0.1,3,11.53999996,0.087360464,98.34519958,1357.699951,2700.699951,8834.700195,0,145188,242.026001
201612,-0.287372947,-0.327456206,-5.395567894,9.9,8,11.46944427,0.089542322,99.03140259,1392.099976,2730.600098,8883.200195,0,145410,242.6369934
201701,-0.369172305,-0.328654349,-7.940368176,5.1,10,11.18833351,0.086086765,98.79869843,1384.900024,2751.5,8927.299805,0,145636,243.6179962
201702,-0.331235647,-0.257473975,-8.126778603,1.9,8,10.22500038,0.086492069,98.43219757,1390.300049,2757.699951,8940.400391,0,145848,244.0059967
201703,-0.2904737,-0.253523022,-9.187977791,15.5,14,9.859999657,0.088049084,99.06629944,1380.099976,2770.199951,8989.700195,0,145976,243.8919983
201704,-0.363316923,-0.31389758,1.84258616,12.2,20,8.176250458,0.086927198,100.0082016,1390.800049,2778.600098,8999.700195,0,146173,244.1929932
201705,-0.275673598,-0.213001698,0.956966519,3.4,19,7.824999809,0.088953987,100.1286011,1388.800049,2755.800049,9027.200195,0,146389,244.0039978
201706,-0.369801104,-0.321749747,-0.191386223,7.6,23,8.353750229,0.087924719,100.3233032,1403.5,2771.399902,9050.200195,0,146588,244.1629944
201707,-0.387621343,-0.335457444,-0.932188213,28.3,15,9.276249886,0.089594565,100.0947037,1412.599976,2763,9087.599609,0,146772,244.2429962
201708,-0.426144511,-0.338161826,-1.506386042,-4.9,8,9.840624809,0.08538314,99.66419983,1403.5,2788.800049,9102.400391,0,146907,245.1829987
201709,-0.241729349,-0.185540348,-1.329492688,24.9,19,8.418749809,0.081564233,99.76860046,1437.300049,2842.899902,9137.099609,0,146999,246.4349976
201710,-0.20873493,-0.208734825,-2.858168125,36.5,22,8.452500343,0.081059948,100.9981003,1447.099976,2825.800049,9174.599609,0,147146,246.6260071
201711,-0.222833559,-0.176741734,-1.573275328,9.2,32,9.193124771,0.078650542,101.259697,1467,2856.899902,9216.700195,0,147375,247.2839966
201712,-0.210726276,-0.18092984,-1.349833846,7.2,12,8.196249962,0.077460393,101.4572983,1485,2893,9288,0,147521,247.8049927
201801,-0.126067609,-0.118209973,-5.17777729,27.6,20,7.837500095,0.079560116,101.393898,1478.199951,2906.899902,9318.200195,0,147667,248.8589935
201802,-0.064099833,-0.041717336,-6.712147236,-2.9,19,6.889999866,0.077522635,101.7656021,1490.699951,2906.899902,9341.200195,0,148054,249.529007
201803,-0.010397551,0.05292131,-7.382055283,22.7,17,6.723750114,0.07664711,102.2441025,1481.099976,2900,9412.099609,0,148280,249.5769958
201804,-0.26944375,-0.19906725,-5.387372017,29.7,13,5.563125134,0.074307814,103.3468018,1478.400024,2909.100098,9451,0,148426,250.227005
201805,-0.293271393,-0.180696175,-6.893774509,10.4,23,6.386250019,0.074583873,102.391098,1498.800049,2939.300049,9466.900391,0,148755,250.7920074
201806,-0.293700963,-0.18415235,-8.861219406,22.6,36,6.59375,0.076173455,103.1923981,1487.199951,2916.899902,9526.299805,0,148968,251.0180054
201807,-0.242244288,-0.154811278,-7.728480816,21.5,25,6.875,0.076441705,103.3333969,1492.599976,2926.300049,9555.900391,0,149023,251.2140045
201808,-0.237537637,-0.203267068,-10.37358665,11.4,15,7.15625,0.078316957,104.0807037,1497,2929.100098,9587.900391,0,149274,251.6629944
201809,-0.289445281,-0.266358882,-9.116670609,26.1,24,7.455625057,0.082427725,104.118103,1485.199951,2937.100098,9595.5,0,149361,252.1820068
201810,-0.33772558,-0.244522259,-5.029485703,21.3,27,11.01249981,0.079201356,103.9396973,1483.900024,2958,9641.099609,0,149525,252.7720032
201811,-0.376686007,-0.349702001,-5.481213093,0.9,11,10.21875,0.07970503,104.0007019,1519.599976,2976.300049,9667.099609,0,149622,252.5939941
201812,-0.423310757,-0.286996722,-4.818552017,-1.4,9,10.90124989,0.081068352,103.9945984,1473.300049,2898.699951,9679.700195,0,149804,252.7669983
201901,-0.253060907,-0.119904079,-9.629769325,-6.6,8,9.886249542,0.074375331,103.3730011,1469.699951,2932.399902,9686.299805,0,150062,252.5610046
201902,-0.210550651,-0.051649824,-9.051309586,3.3,20,9.461250305,0.076671503,102.8292007,1474.199951,2933.199951,9708.099609,0,150067,253.3190002
201903,-0.166096941,0.006821722,-9.09995079,30.6,13,9.034999847,0.075535148,102.828598,1502,2974.199951,9764,0,150294,254.2769928
201904,-0.207288772,0.048890304,-9.27869606,29.3,18,9.422499657,0.079665683,102.2481003,1491.900024,3000.5,9785.900391,0,150602,255.2330017
201905,-0.138480783,-0.011747731,-9.28256321,20.9,33,9.407500267,0.085574873,102.4191971,1523.800049,3006.300049,9810.700195,0,150640,255.2960052
201906,-0.071608588,0.125690207,-9.188012123,38.8,24,9.663749695,0.090474665,102.4893036,1527.400024,3012.300049,9851.5,0,150844,255.2129974
201907,-0.069027677,0.146682084,-10.31183529,22.8,24,8.789999962,0.09044265,102.0235977,1533.599976,3032,9906.200195,0,150934,255.802002
201908,-0.006391843,0.218302578,-8.369931221,12.8,10,9.003749847,0.088978767,102.7753983,1538.5,3036.899902,9950.299805,0,151155,256.0360107
201909,-0.023002904,0.258687645,-6.0642519,21.2,15,8.477499962,0.088877134,102.5315018,1550.699951,3018.899902,9986,0,151358,256.4299927
201910,-0.16985397,0.108694963,-7.627467632,8.8,20,8.491874695,0.091290943,101.6022034,1533.199951,3033.300049,10017.40039,0,151458,257.1549988
201911,-0.135278538,0.128465906,-8.497963905,13.1,28,8.660625458,0.093079969,102.1480026,1562.599976,3040.699951,10075.2998,0,151666,257.8789978
201912,-0.141486257,0.17103757,-8.577330589,53.4,13,8.439374924,0.093927264,101.8840027,1564.699951,3056.899902,10119.7998,0,151792,258.6300049
202001,0.026192144,0.285547465,-11.56151009,45,13,7.174375057,0.101678707,101.3768005,1544,3053.5,10218.09961,0,152045,258.9060059
202002,-0.088245839,0.066757537,-14.41707516,24.9,20,9.51812458,0.106576443,101.6330032,1551.199951,3051.199951,10208.2998,1,152309,259.2460022
202003,-0.191160157,0.089011647,-13.92964745,-8.9,5,11.53312492,0.096041031,97.66719818,1344.099976,3134.399902,9314.5,1,150898,258.1499939
202004,-0.18807897,0.314496756,-5.313084602,38.5,9,11.33625031,0.087467022,84.59790039,1178.699951,2730.199951,8319.400391,1,130421,256.1260071
202005,-0.186216623,0.042396318,-9.392160416,35.4,17,11.38374996,0.087694958,85.97319794,1539.800049,2947.399902,8764.299805,0,133040,255.8480072
