year,id,price
2006,UKM,1.35
2006,UKN,1.35
2007,UKI,1.49
2007,UKJ,1.5
2007,UKK,1.45
2007,UKH,1.45
2007,UKF,1.4
2007,UKG,1.49
2007,UKE,1.49
2007,UKD,1.49
2007,UKC,1.5
2007,UKL,1.3
2007,UKM,1.45
2007,UKN,1.5
2008,UKI,1.58
2008,UKJ,1.65
2008,UKK,1.5
2008,UKH,1.5
2008,UKF,1.5
2008,UKG,1.6
2008,UKE,1.5
2008,UKD,1.5
2008,UKC,1.5
2008,UKL,1.45
2008,UKM,1.55
2008,UKN,1.5
2009,UKI,1.65
2009,UKJ,1.6900001
2009,UKK,1.55
2009,UKH,1.65
2009,UKF,1.55
2009,UKG,1.65
2009,UKE,1.5
2009,UKD,1.6
2009,UKC,1.59
2009,UKL,1.55
2009,UKM,1.6
2009,UKN,1.5
2010,UKI,1.7
2010,UKJ,1.7
2010,UKK,1.6900001
2010,UKH,1.7
2010,UKF,1.6900001
2010,UKG,1.6900001
2010,UKE,1.65
2010,UKD,1.6900001
2010,UKC,1.6
2010,UKL,1.6900001
2010,UKM,1.65
2010,UKN,1.5
2011,UKI,1.79
2011,UKJ,1.8
2011,UKK,1.8
2011,UKH,1.79
2011,UKF,1.7
2011,UKG,1.75
2011,UKE,1.75
2011,UKD,1.79
2011,UKC,1.7
2011,UKL,1.75
2011,UKM,1.75
2011,UKN,1.55
2012,UKI,1.85
2012,UKJ,1.9
2012,UKK,1.9
2012,UKH,1.85
2012,UKF,1.75
2012,UKG,1.8
2012,UKE,1.8
2012,UKD,1.75
2012,UKC,1.75
2012,UKL,1.75
2012,UKM,1.75
2012,UKN,1.6
2013,UKI,2.0
2013,UKJ,1.9
2013,UKK,1.9
2013,UKH,1.98
2013,UKF,1.85
2013,UKG,1.9
2013,UKE,1.9
2013,UKD,1.9
2013,UKC,1.79
2013,UKL,1.75
2013,UKM,1.75
2013,UKN,1.65
2014,UKI,2.0
2014,UKJ,2.0
2014,UKK,2.0
2014,UKH,2.0999999
2014,UKF,2.0999999
2014,UKG,2.0999999
2014,UKE,2.0
2014,UKD,2.0
2014,UKC,1.99
2014,UKL,2.0
2014,UKM,1.95
2014,UKN,1.85
2015,UKI,2.1500001
2015,UKJ,2.1500001
2015,UKK,2.0999999
2015,UKH,2.2
2015,UKF,2.0
2015,UKG,2.0999999
2015,UKE,2.0999999
2015,UKD,2.1500001
2015,UKC,2.0
2015,UKL,1.95
2015,UKM,2.1500001
2015,UKN,1.9249999999999998
2016,UKI,2.2
2016,UKJ,2.2
2016,UKK,2.2
2016,UKH,2.25
2016,UKF,2.0999999
2016,UKG,2.1500001
2016,UKE,2.2
2016,UKD,2.25
2016,UKC,2.0999999
2016,UKL,2.0
2016,UKM,2.0999999
2016,UKN,2.0
2017,UKI,2.25
2017,UKJ,2.3499999
2017,UKK,2.2
2017,UKH,2.3499999
2017,UKF,2.25
2017,UKG,2.25
2017,UKE,2.25
2017,UKD,2.3
2017,UKC,2.0999999
2017,UKL,2.3
2017,UKM,2.1500001
2017,UKN,2.0999999
2018,UKI,2.3
2018,UKJ,2.4000001
2018,UKK,2.3
2018,UKH,2.45
2018,UKF,2.3
2018,UKG,2.3499999
2018,UKE,2.3
2018,UKD,2.3499999
2018,UKC,2.25
2018,UKL,2.3
2018,UKM,2.2
2018,UKN,2.2
2019,UKI,2.4000001
2019,UKJ,2.45
2019,UKK,2.4000001
2019,UKH,2.5
2019,UKF,2.4000001
2019,UKG,2.4000001
2019,UKE,2.45
2019,UKD,2.45
2019,UKC,2.3499999
2019,UKL,2.45
2019,UKM,2.3499999
2019,UKN,2.25
2020,UKI,2.49
2020,UKJ,2.5
2020,UKK,2.4000001
2020,UKH,2.5
2020,UKF,2.4059999
2020,UKG,2.49
2020,UKE,2.5
2020,UKD,2.55
2020,UKC,2.3
2020,UKL,2.49
2020,UKM,2.2750001
2020,UKN,2.3
2021,UKI,2.5899999
2021,UKJ,2.55
2021,UKK,2.5
2021,UKH,2.6500001
2021,UKF,2.5
2021,UKG,2.5
2021,UKE,2.5
2021,UKD,2.6500001
2021,UKC,2.3
2021,UKL,2.5
2021,UKM,2.45
2021,UKN,2.475
2022,UKI,2.79
2022,UKJ,2.8499999
2022,UKK,2.75
2022,UKH,2.8
2022,UKF,2.6900001
2022,UKG,2.7
2022,UKE,2.75
2022,UKD,2.95
2022,UKC,2.5999999
2022,UKL,2.6900001
2022,UKM,2.6900001
2022,UKN,2.79
2023,UKI,3.0999999
2023,UKJ,3.0
2023,UKK,2.95
2023,UKH,2.95
2023,UKF,2.95
2023,UKG,2.99
2023,UKE,2.99
2023,UKD,3.05
2023,UKC,2.95
2023,UKL,2.95
2023,UKM,2.99
2023,UKN,2.995
2024,UKI,3.25
2024,UKJ,3.1500001
2024,UKK,3.25
2024,UKH,3.1900001
2024,UKF,2.995
2024,UKG,3.25
2024,UKE,3.05
2024,UKD,3.2
2024,UKC,2.95
2024,UKL,2.99
2024,UKM,3.25
2024,UKN,3.0
