Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Volatility
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,,
1970-01-02,93.0,93.0,93.54000091552734,91.79000091552734,0.0,8050000,,
1970-01-05,93.45999908447266,93.45999908447266,94.25,92.52999877929688,0.0,11490000,0.004946226714759749,
1970-01-06,92.81999969482422,92.81999969482422,93.80999755859375,92.12999725341797,0.0,11460000,-0.0068478428837772665,
1970-01-07,92.62999725341797,92.62999725341797,93.37999725341797,91.93000030517578,0.0,10010000,-0.0020469989445264236,
1970-01-08,92.68000030517578,92.68000030517578,93.47000122070312,91.98999786376953,0.0,10670000,0.000539814889781498,
1970-01-09,92.4000015258789,92.4000015258789,93.25,91.81999969482422,0.0,9380000,-0.0030211348551456574,
1970-01-12,91.69999694824219,91.69999694824219,92.66999816894531,91.19999694824219,0.0,8900000,-0.0075758069921748605,
1970-01-13,91.91999816894531,91.91999816894531,92.61000061035156,90.98999786376953,0.0,9870000,0.002399140981730996,
1970-01-14,91.6500015258789,91.6500015258789,92.4000015258789,90.87999725341797,0.0,10380000,-0.0029373003529673536,
1970-01-15,91.68000030517578,91.68000030517578,92.3499984741211,90.7300033569336,0.0,11120000,0.00032731891759341103,
1970-01-16,90.91999816894531,90.91999816894531,92.48999786376953,90.36000061035156,0.0,11940000,-0.00828972658923044,
1970-01-19,89.6500015258789,89.6500015258789,90.72000122070312,89.13999938964844,0.0,9500000,-0.013968287160614823,
1970-01-20,89.83000183105469,89.83000183105469,90.44999694824219,88.63999938964844,0.0,11050000,0.0020078115126838103,
1970-01-21,89.94999694824219,89.94999694824219,90.61000061035156,89.19999694824219,0.0,9880000,0.0013358022346829923,
1970-01-22,90.04000091552734,90.04000091552734,90.80000305175781,89.19999694824219,0.0,11050000,0.0010006000037658946,
1970-01-23,89.37000274658203,89.37000274658203,90.44999694824219,88.73999786376953,0.0,11000000,-0.007441116860648189,
1970-01-26,88.16999816894531,88.16999816894531,89.2300033569336,87.48999786376953,0.0,10670000,-0.013427375414091225,
