ITL,ITL code,Area,Population,Gross Domestic Product (£m),GDP Growth 2010-19 (%),Gross Value Added (£),GDP per capita (£),Employment (%),Unemployment (%),Economic Inactivity (%),Unemployment Claimants (%)
ITL3,TLG38,Walsall,285478,5558,18.6,4816,19469,70.6,6.7,24.3,4.2
ITL3,TLG39,Wolverhampton,263357,6031,0.4,5349,22901,67.2,6.8,27.8,5.7
ITL3,TLH11,Peterborough,202259,7198,18.6,6497,35587,74.7,6.0,20.3,3.2
ITL3,TLH12,Cambridgeshire CC,653537,22654,20.3,20367,34663,79.7,2.6,18.2,1.3
ITL3,TLH14,Suffolk,761350,22212,20.8,19621,29174,78.3,2.3,19.8,2.2
ITL3,TLH15,Norwich and East Norfolk,370692,11377,24.6,10195,30690,76.3,4.8,19.6,2.8
ITL3,TLH16,North and West Norfolk,256220,5544,12.8,4700,21638,76.4,3.7,20.5,1.6
ITL3,TLH17,Breckland and South Norfolk,280848,6293,12.9,5338,22408,80.2,2.7,17.3,1.5
ITL3,TLH21,Luton,213052,7127,22.6,6248,33452,70.4,4.9,25.9,2.7
ITL3,TLH23,Hertfordshire,1189519,46086,30.6,41434,38744,79.1,3.5,18.0,1.7
ITL3,TLH24,Bedford,173292,5019,25.3,4377,28964,76.9,3.2,20.4,3.2
ITL3,TLH25,Central Bedfordshire,288648,7165,23.5,6099,24824,80.8,1.1,18.2,1.2
ITL3,TLH31,Southend-on-Sea,183125,3790,11.9,3254,20694,77.3,3.8,19.5,3.6
ITL3,TLH32,Thurrock,174341,5036,16.4,4440,28887,77.1,5.4,18.5,2.9
ITL3,TLH34,Essex Haven Gateway,493871,11637,23.6,10011,23564,72.6,4.0,24.3,2.4
ITL3,TLH35,West Essex,310040,9934,9.1,8667,32042,78.4,3.7,18.7,2.0
ITL3,TLH36,Heart of Essex,320335,11208,23.0,9939,34990,81.3,0.9,17.9,1.5
ITL3,TLH37,Essex Thames Gateway,364943,9500,12.6,8356,26032,80.3,2.4,17.6,2.2
ITL3,TLI31,Camden and City of London,279750,116447,38.9,113719,416252,71.0,5.2,25.2,2.0
ITL3,TLI32,Westminster,261317,78383,34.6,76185,299955,71.3,4.8,24.9,2.0
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,341272,23427,41.6,21992,68645,71.3,4.4,25.3,2.8
ITL3,TLI34,Wandsworth,329677,9150,19.5,7890,27755,80.5,4.4,16.1,1.9
ITL3,TLI41,Hackney and Newham,634254,17960,44.2,15867,28317,71.7,4.7,24.7,3.0
ITL3,TLI42,Tower Hamlets,324745,38822,21.8,37271,119547,71.4,4.0,25.8,3.3
ITL3,TLI43,Haringey and Islington,511114,26539,41.7,24772,51923,77.0,3.4,20.2,3.1
ITL3,TLI44,Lewisham and Southwark,624672,27691,35.6,25677,44328,78.9,4.4,17.4,3.6
ITL3,TLI45,Lambeth,326034,14007,14.4,12989,42962,78.2,5.9,16.7,3.4
ITL3,TLI51,Bexley and Greenwich,536229,14394,22.8,12500,26843,76.3,4.7,20.0,2.4
ITL3,TLI52,Barking & Dagenham and Havering,472458,11231,9.6,9513,23770,72.7,5.4,23.0,3.0
ITL3,TLI53,Redbridge and Waltham Forest,582205,11465,22.3,9551,19692,72.2,5.2,23.6,2.6
ITL3,TLI54,Enfield,333794,9516,18.3,8139,28509,65.9,7.3,28.7,3.2
ITL3,TLI61,Bromley,332336,9675,9.8,8142,29113,79.3,1.9,19.1,1.8
ITL3,TLI62,Croydon,386710,11652,16.0,9950,30131,76.1,3.5,21.0,4.1
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",590404,18058,14.9,15418,30586,79.1,4.5,17.1,2.2
ITL3,TLI71,Barnet,395869,10739,20.4,9113,27129,73.9,5.5,21.7,2.2
ITL3,TLI72,Brent,329771,10425,23.4,9074,31611,72.8,6.2,23.0,2.9
ITL3,TLI73,Ealing,341806,10716,15.0,9404,31352,73.0,4.5,23.6,3.2
ITL3,TLI74,Harrow and Hillingdon,558030,23416,17.2,20602,41961,70.8,4.9,25.5,1.9
ITL3,TLI75,Hounslow and Richmond upon Thames,469542,27511,37.4,25095,58591,75.7,2.5,22.4,2.7
ITL3,TLJ11,Berkshire,914859,49986,40.7,46607,54637,80.5,2.8,17.1,1.7
ITL3,TLJ12,Milton Keynes,269457,15685,41.5,14672,58211,78.3,4.8,17.8,2.0
ITL3,TLJ13,Buckinghamshire CC,543973,18313,10.8,16203,33666,79.3,3.6,17.7,1.3
